SMILES,Marked Bonds,
CCCCCCCCNC(=N)NC(=N)NCc1ccc(Cl)c(Cl)c1,"[(12, 14)]",
CCCCCCCCNC(=N)NC(=N)NCc1ccc(Cl)c(Cl)c1,"[(12, 14), (8, 9)]",
CCCCCCCCNC(=N)NC#N,"[(8, 9)]",
CCOC(=O)c1cn(C2CC2)c2c(C)c(-c3cnc(N(C)C(C)=O)c(C)c3)ccc2c1=O,"[(15, 16)]",
CCOC(=O)c1cn(C2CC2)c2c(C)c(-c3cnc(N(C)C(C)=O)c(C)c3)ccc2c1=O,"[(15, 16), (6, 7), (12, 30)]",
CCOC(=O)c1cn(C2CC2)c2c(C)c(-c3cnc(N(C)C(C)=O)c(C)c3)ccc2c1=O,"[(6, 7), (12, 30), (7, 11), (15, 16)]",
CCOC(=O)c1cn(C2CC2)c2c(C)c(Br)ccc2c1=O,"[(12, 19), (6, 7)]",
CCOC(=O)c1cn(C2CC2)c2c(C)c(Br)ccc2c1=O,"[(12, 19), (6, 7), (7, 11)]",
Cc1c(Br)cccc1NC1CC1,"[(7, 8)]",
CCCC[Sn](CCCC)(CCCC)c1cnc(N(C)C(C)=O)c(C)c1,"[(4, 13)]",
CCCC[Sn](CCCC)(CCCC)c1cnc(N(C)C(C)=O)c(C)c1,"[(4, 13), (18, 20)]",
CCCC[Sn](CCCC)(CCCC)c1cnc(N(C)C(C)=O)c(C)c1,"[(4, 13), (18, 20), (17, 18)]",
CC(=O)N(C)c1ncc(Br)cc1C,"[(1, 3)]",
CC(=O)N(C)c1ncc(Br)cc1C,"[(1, 3), (3, 5)]",
CNc1ncc(Br)cc1C,"[(1, 2)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O,"[(25, 26)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O,"[(25, 26), (20, 21)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O,"[(25, 26), (20, 21), (4, 5)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O,"[(4, 5), (20, 21), (25, 26), (19, 20), (18, 19)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O,"[(18, 19), (19, 20), (4, 5), (25, 26), (20, 21), (20, 16)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"[(20, 21)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"[(20, 21), (4, 5)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"[(20, 21), (4, 5), (19, 20), (18, 19)]",
CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,"[(20, 21), (19, 20), (18, 19), (4, 5), (20, 16)]",
CSCCNc1nc(SCCC(F)(F)F)nc2[nH]cnc12,"[(4, 5)]",
CSCCNc1nc(SCCC(F)(F)F)nc2[nH]cnc12,"[(4, 5), (19, 20), (18, 19)]",
CSCCNc1nc(SCCC(F)(F)F)nc2[nH]cnc12,"[(4, 5), (18, 19), (19, 20), (20, 16)]",
CSCCNc1nc(SCCC(F)(F)F)nc2[nH]cnc12,"[(4, 5), (18, 19), (19, 20), (20, 16), (8, 9)]",
CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,"[(22, 23)]",
CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,"[(22, 23), (2, 3)]",
CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,"[(22, 23), (2, 3), (5, 7)]",
CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,"[(22, 23), (5, 7), (2, 3), (8, 22)]",
CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,"[(22, 23), (8, 22), (5, 7), (2, 3), (9, 10)]",
C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)OC(C)(C)C)C(=O)O,"[(1, 2)]",
C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)OC(C)(C)C)C(=O)O,"[(1, 2), (17, 18)]",
C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)OC(C)(C)C)C(=O)O,"[(17, 18), (1, 2), (3, 17)]",
C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)OC(C)(C)C)C(=O)O,"[(17, 18), (3, 17), (1, 2), (4, 5)]",
CC(C)(C)OC(=O)N[C@@H](CO)Cc1ccc(-c2ccccc2)cc1,"[(5, 7)]",
CC(C)(C)OC(=O)N[C@@H](CO)Cc1ccc(-c2ccccc2)cc1,"[(5, 7), (7, 8)]",
CC(C)(C)OC(=O)N[C@@H](CO)Cc1ccc(-c2ccccc2)cc1,"[(5, 7), (7, 8), (11, 12)]",
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(10, 12)]",
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(10, 12), (8, 9)]",
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(10, 12), (8, 9), (3, 17)]",
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(10, 12), (8, 9), (3, 17), (18, 19), (26, 33)]",
CC(C)N(CCCCOCC(=O)OC(C)(C)C)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(8, 9)]",
CC(C)N(CCCCOCC(=O)OC(C)(C)C)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(8, 9), (3, 17)]",
CC(C)N(CCCCOCC(=O)OC(C)(C)C)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(8, 9), (3, 17), (18, 19), (26, 33)]",
CC(C)N(CCCCO)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(3, 9)]",
CC(C)N(CCCCO)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(3, 9), (10, 11), (18, 25)]",
Oc1cnc(-c2ccccc2)c(-c2ccccc2)n1,"[(2, 3), (10, 17)]",
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,"[(11, 13)]",
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,"[(11, 13), (14, 15)]",
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1CO,"[(29, 30)]",
CC(C)(C)OC(=O)N1CCN(c2cccc3sc(C(=O)O)cc23)CC1,"[(17, 18), (22, 15)]",
CC(C)(C)OC(=O)N1CCN(c2cccc(Cl)c2C=O)CC1,"[(10, 11)]",
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,"[(12, 13)]",
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,"[(12, 13), (8, 9)]",
O=c1ccc2ccc(OCCCCCl)cc2[nH]1,"[(8, 9)]",
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,"[(3, 5)]",
CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,"[(3, 5), (11, 12)]",
CC(C)(C)OC(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,"[(13, 14)]",
CC(C)(C)OC(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,"[(13, 14), (5, 7)]",
CC(C)(C)OC(=O)N[C@H]1CC[C@H](CCO)CC1,"[(5, 7)]",
O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,"[(15, 16)]",
O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,"[(15, 16), (9, 10)]",
O=c1[nH]c2ccccc2n1CCN1CCNCC1,"[(9, 10)]",
C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,"[(2, 3)]",
C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,"[(2, 3), (8, 9)]",
[H]C(=O)C1=CC=C(OCC2=CC(F)=CC=C2)C=C1,"[(8, 9)]",
COC(=O)[C@H](Cc1c(C)cc(C(=O)O)cc1C)NC(=O)OC(C)(C)C,"[(10, 11)]",
COC(=O)c1cc(CN(C(=O)[C@H](Cc2c(C)cc(C(N)=O)cc2C)NC(=O)OC(C)(C)C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)ccc1OC,"[(8, 9)]",
COC(=O)c1cc(CN(C(=O)[C@H](Cc2c(C)cc(C(N)=O)cc2C)NC(=O)OC(C)(C)C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)ccc1OC,"[(8, 9), (7, 8)]",
COC(=O)c1cc(CN(C(=O)[C@H](Cc2c(C)cc(C(N)=O)cc2C)NC(=O)OC(C)(C)C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)ccc1OC,"[(8, 9), (7, 8), (35, 36), (34, 35)]",
COC(=O)c1cc(CN(C(=O)[C@H](Cc2c(C)cc(C(N)=O)cc2C)NC(=O)OC(C)(C)C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)ccc1OC,"[(8, 9), (7, 8), (34, 35), (35, 36), (44, 34)]",
C[C@H](N)c1nc(-c2ccccc2)c[nH]1,"[(3, 4), (4, 5)]",
C[C@H](N)c1nc(-c2ccccc2)c[nH]1,"[(3, 4), (4, 5), (13, 3)]",
C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,"[(13, 15)]",
C[C@@H](OC[C@@]1(c2ccccc2)C=C[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"[(11, 12)]",
C[C@@H](OC[C@@]1(c2ccccc2)C=C[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"[(11, 12), (19, 20)]",
C=C[C@@]1(CN[C@](C=C)(CO[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2)CCC(=O)N1,"[(3, 4)]",
C=C[C@](CO[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(NC(=O)OCc1ccccc1)c1ccccc1,"[(0, 1)]",
C=C[C@](CO[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(NC(=O)OCc1ccccc1)c1ccccc1,"[(0, 1), (2, 3)]",
C[C@@H](OC[C@@]1(c2ccccc2)C(=O)O[C@H](c2ccccc2)N1C(=O)OCc1ccccc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"[(3, 4)]",
C[C@@H](OC[C@@]1(c2ccccc2)C(=O)O[C@H](c2ccccc2)N1C(=O)OCc1ccccc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"[(3, 4), (14, 21), (13, 14)]",
O=C1O[C@H](c2ccccc2)N(C(=O)OCc2ccccc2)[C@H]1c1ccccc1,"[(3, 10), (2, 3)]",
CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,"[(18, 19)]",
CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,"[(18, 19), (13, 14)]",
CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,"[(18, 19), (13, 14), (5, 6)]",
CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,"[(5, 6), (7, 9), (13, 14), (18, 19)]",
CCCCCCO[C@@H](C)c1cccc(-c2csc(N)n2)c1OC,"[(13, 14)]",
CCCCCCO[C@@H](C)c1cccc(-c2csc(N)n2)c1OC,"[(13, 14), (5, 6)]",
CCCCCCO[C@@H](C)c1cccc(-c2csc(N)n2)c1OC,"[(13, 14), (5, 6), (7, 9)]",
CCCCCCO[C@@H](C)c1cccc(Br)c1OC,"[(5, 6)]",
CCCCCCO[C@@H](C)c1cccc(Br)c1OC,"[(5, 6), (7, 9)]",
COc1c(Br)cccc1[C@H](C)O,"[(3, 4)]",
CCOC(=O)/C(C)=C/c1c(Cl)cc(C(=O)O)cc1Cl,"[(5, 7)]",
CCOC(=O)/C(C)=C/c1c(Cl)cc(C(=O)O)cc1Cl,"[(5, 7), (7, 8)]",
[H][C@]12CC[C@]3([H])C(=CC(=O)[C@@]4(C)[C@@]3(C)CC[C@]4([H])[C@H](C)CCC(=O)OC)[C@@]1(C)CC[C@@H](OC(C)=O)C2,"[(17, 34)]",
[H][C@]12CC[C@]3([H])C(=CC(=O)[C@@]4(C)[C@@]3(C)CC[C@]4([H])[C@H](C)CCC(=O)OC)[C@@]1(C)CC[C@@H](OC(C)=O)C2,"[(17, 34), (24, 26)]",
[H][C@]12CC[C@]3([H])C(=CC(=O)[C@@]4(C)[C@@]3(C)CC[C@]4([H])[C@H](C)CCC(=O)OC)[C@@]1(C)CC[C@@H](OC(C)=O)C2,"[(24, 26), (17, 34), (12, 13)]",
[H][C@]12CC[C@]3([H])C(=CC(=O)[C@@]4(C)[C@@]3(C)CC[C@]4([H])[C@H](C)CCC(=O)OC)[C@@]1(C)CC[C@@H](OC(C)=O)C2,"[(12, 13), (17, 34), (24, 26), (19, 24)]",
[H][C@]12CC[C@]3([H])C(=CC[C@]4(C)/C(=C\C)CC[C@@]34C)[C@@]1(C)CC[C@@H](OC(C)=O)C2,"[(11, 12)]",
[H][C@]12CC[C@]3([H])C(=CC[C@]4(C)/C(=C\C)CC[C@@]34C)[C@@]1(C)CC[C@@H](OC(C)=O)C2,"[(11, 12), (22, 23)]",
[H][C@]12CC[C@]3([H])C(=CC[C@]4(C)/C(=C\C)CC[C@@]34C)[C@@]1(C)CC[C@@H](O)C2,"[(19, 20)]",
COC(=O)[C@@H](COC(C)(C)C)NCCNC(=O)OCc1ccccc1,"[(11, 12)]",
COC(=O)[C@@H](COC(C)(C)C)NCCNC(=O)OCc1ccccc1,"[(11, 12), (6, 7)]",
COC(=O)[C@@H](COC(C)(C)C)NC(=O)OCc1ccccc1,"[(6, 7)]",
CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F,"[(5, 7)]",
CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F,"[(7, 8), (5, 7)]",
CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F,"[(7, 8), (5, 7), (8, 9)]",
CCOC(=O)CC(N)Cc1cc(F)c(F)cc1F,"[(6, 7)]",
CCOC(=O)CC(N)Cc1cc(F)c(F)cc1F,"[(6, 7), (5, 6)]",
CC1(C)OC(=O)C(C(=O)Cc2cc(F)c(F)cc2F)C(=O)O1,"[(6, 7)]",
CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@@H](Cc1cc(F)c(F)cc1F)NC(=O)OCc1ccccc1,"[(12, 13)]",
CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@@H](Cc1cc(F)c(F)cc1F)NC(=O)OCc1ccccc1,"[(12, 13), (27, 28)]",
CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@@H](Cc1cc(F)c(F)cc1F)NC(=O)OCc1ccccc1,"[(12, 13), (27, 28), (16, 27)]",
CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@@H](Cc1cc(F)c(F)cc1F)NC(=O)OCc1ccccc1,"[(16, 27), (27, 28), (12, 13), (15, 16)]",
COC(=O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,"[(9, 10)]",
COC(=O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,"[(9, 10), (4, 5)]",
COC(=O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,"[(4, 5), (9, 10), (6, 7), (9, 11)]",
COC(=O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,"[(4, 5), (6, 7), (9, 11), (9, 10), (11, 6)]",
COC(=O)CSc1nncn1-c1ccc(C2CC2)c2ccccc12,"[(4, 5)]",
COC(=O)CSc1nncn1-c1ccc(C2CC2)c2ccccc12,"[(4, 5), (6, 7), (9, 10)]",
COC(=O)CSc1nncn1-c1ccc(C2CC2)c2ccccc12,"[(4, 5), (6, 7), (9, 10), (10, 6)]",
Sc1nncn1-c1ccc(C2CC2)c2ccccc12,"[(4, 5), (1, 2)]",
Sc1nncn1-c1ccc(C2CC2)c2ccccc12,"[(4, 5), (5, 1), (1, 2)]",
S=C=Nc1ccc(C2CC2)c2ccccc12,"[(1, 2)]",
CC(C)(C)OC(=O)N1Cc2cn(S(C)(=O)=O)nc2C1,"[(11, 12)]",
CC(C)(C)OC(=O)N1Cc2cn(S(C)(=O)=O)nc2C1,"[(11, 12), (16, 17), (10, 11)]",
CC(C)(C)OC(=O)N1Cc2cn(S(C)(=O)=O)nc2C1,"[(16, 17), (10, 11), (9, 10)]",
CC(C)(C)OC(=O)N1Cc2cn[nH]c2C1,"[(10, 12), (13, 14)]",
CC(C)(C)OC(=O)N1Cc2cn[nH]c2C1,"[(10, 12), (13, 14), (14, 9)]",
CN(C)/C=C1\CN(C(=O)OC(C)(C)C)CC1=O,"[(3, 4)]",
CC(C)(C)OC(=O)N[C@H]1CC(O)CO[C@@H]1c1cc(F)ccc1F,"[(10, 11)]",
CC(C)(C)OC(=O)N[C@H]1CC(O)CO[C@@H]1c1cc(F)ccc1F,"[(12, 13), (10, 11)]",
CC(C)(C)OC(=O)N[C@H]1CC(O)CO[C@@H]1c1cc(F)ccc1F,"[(10, 11), (12, 13), (14, 15)]",
CC(C)(C)OC(=O)N[C@H]1CC(O)CO[C@@H]1c1cc(F)ccc1F,"[(10, 11), (12, 13), (14, 15), (8, 9)]",
CC(C)(C)OC(=O)N[C@H]1CC=CO[C@@H]1c1cc(F)ccc1F,"[(11, 12)]",
CC(C)(C)OC(=O)N[C@H]1CC=CO[C@@H]1c1cc(F)ccc1F,"[(13, 14), (11, 12)]",
CC(C)(C)OC(=O)N[C@H]1CC=CO[C@@H]1c1cc(F)ccc1F,"[(11, 12), (13, 14), (5, 7)]",
CC(C)(C)OC(=O)N[C@H]1CC=CO[C@@H]1c1cc(F)ccc1F,"[(5, 7), (13, 14), (11, 12), (8, 9)]",
C#CCC(NC(=O)OC(C)(C)C)C(=O)c1cc(F)ccc1F,"[(12, 14)]",
C#CCC(NC(=O)OC(C)(C)C)C(=O)c1cc(F)ccc1F,"[(12, 14), (4, 5)]",
C#CCC(NC(=O)OC(C)(C)C)C(=O)c1cc(F)ccc1F,"[(4, 5), (12, 14), (2, 3)]",
CC(C)(C)OC(=O)N[C@H]1C[C@@H](N2Cc3cn(S(C)(=O)=O)nc3C2)CO[C@@H]1c1cc(F)ccc1F,"[(10, 11)]",
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,"[(5, 6)]",
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,"[(5, 6), (13, 14)]",
Cn1c(=O)cc(Cl)n(Cc2cc(F)ccc2C#N)c1=O,"[(7, 8)]",
CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,"[(1, 3), (22, 23), (17, 18)]",
CC1(C)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(N)(=O)=O)cc1,"[(6, 7)]",
CC1(C)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(N)(=O)=O)cc1,"[(6, 7), (18, 19)]",
CC1(C)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(N)(=O)=O)cc1,"[(6, 7), (18, 19), (3, 4), (14, 15)]",
CC1(C)OC(=O)C(I)=C1c1ccc(S(N)(=O)=O)cc1,"[(6, 7)]",
CC1(C)OC(=O)C(I)=C1c1ccc(S(N)(=O)=O)cc1,"[(6, 7), (12, 13)]",
CC1(C)OC(=O)C(I)=C1c1ccc(S(N)(=O)=O)cc1,"[(6, 7), (12, 13), (3, 4), (8, 9)]",
CS(=O)c1ccc(C2=CC(=O)OC2(C)C)cc1,"[(1, 3)]",
CS(=O)c1ccc(C2=CC(=O)OC2(C)C)cc1,"[(1, 3), (9, 11), (6, 7)]",
CSc1ccc(C(=O)C#CC(C)(C)O)cc1,"[(6, 8)]",
O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,"[(9, 10)]",
O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,"[(1, 19), (9, 10)]",
O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,"[(21, 23), (1, 19), (9, 10)]",
O=C(c1ccc(F)c(F)c1F)N1CC(O)([C@@H]2CCCCN2[C@H](CO)c2ccccc2)C1,"[(1, 11)]",
O=C(c1ccc(F)c(F)c1F)N1CC(O)([C@@H]2CCCCN2[C@H](CO)c2ccccc2)C1,"[(1, 11), (13, 15)]",
CC(C)(C)OC(=O)N1CC(O)([C@@H]2CCCCN2[C@H](CO)c2ccccc2)C1,"[(9, 11)]",
CC(C)(C)OC(=O)N1CC(O)([C@]2(C#N)CCC[C@@H]3OC[C@H](c4ccccc4)N32)C1,"[(9, 11)]",
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,"[(20, 21), (33, 20)]",
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,"[(20, 21), (33, 20), (5, 6)]",
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,"[(5, 6), (20, 21), (33, 20), (9, 10)]",
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,"[(5, 6)]",
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,"[(5, 6), (9, 10)]",
O=C(O)CNC(=O)c1cc(Cl)ccc1Cl,"[(4, 5)]",
COc1cc2nccc(Cl)c2cc1C(N)=O,"[(8, 9)]",
COc1cc2nccc(Cl)c2cc1C(N)=O,"[(8, 9), (11, 12)]",
COc1cc2nccc(Cl)c2cc1C(N)=O,"[(8, 9), (11, 12), (5, 11)]",
COc1cc2nccc(Cl)c2cc1C(N)=O,"[(8, 9), (5, 11), (11, 12), (14, 15)]",
COC(=O)c1cc2c(Cl)ccnc2cc1OC,"[(15, 16)]",
COC(=O)c1cc2c(Cl)ccnc2cc1OC,"[(15, 16), (15, 6)]",
COC(=O)c1cc2c(Cl)ccnc2cc1OC,"[(15, 16), (15, 6), (12, 13)]",
COC(=O)c1cc2c(=O)cc[nH]c2cc1OC,"[(15, 6)]",
COC(=O)c1cc2c(=O)cc[nH]c2cc1OC,"[(15, 6), (12, 13)]",
COC(=O)c1ccc(NC=C2C(=O)OC(C)(C)OC2=O)cc1OC,"[(8, 9)]",
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"[(2, 4)]",
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"[(2, 4), (29, 30)]",
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"[(2, 4), (29, 30), (8, 9)]",
COc1cc(N(C)CCN(C)C)c(N)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,"[(24, 25)]",
COc1cc(N(C)CCN(C)C)c(N)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,"[(24, 25), (4, 5)]",
