SMILES,ID,cut_bond
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2Cc3ccccc3Sc3ncccc32)cc1,3e61d7087c,"[(7, 9)]"
FC(F)(F)c1ccc(N2CCOc3ccccc32)c(Br)c1,b2a6274877,"[(7, 8)]"
CC(C)Sc1ncccc1F,f760834337,"[(3, 4)]"
COC(=O)C(C)(C)CN1CCN(C2=Nc3ccc(Cl)cc3Cn3cc(C)cc32)CC1,faee9739e3,"[(11, 12)]"
CCN(c1nc(F)ccc1NC(C)C)C1CCNCC1,8f41b94bb2,[]
O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC4CCCC4)nc23)N1,ce8f7577ec,"[(5, 6)]"
COC(Oc1cc(Cl)cc(Cl)c1)C(=O)OC(C)(C)C,a9ec1283e3,"[(1, 2)]"
NCc1cccc([N+](=O)[O-])c1,7f94af56d0,"[(0, 1)]"
C#Cc1coc2ccc(C(=O)N[C@H]3CN4CCC3CC4)cc12,44144b2ae7,[]
CC(=O)OC(COCCOS(C)(=O)=O)c1cccc(Cl)c1,54cbef8099,"[(9, 10)]"
O=C(NCc1ccco1)N1CCC(CCOc2ccc3cc2CCc2cncc(c2)Nc2ncc(Cl)c(n2)N3)CC1,1fc077ed73,"[(1, 9)]"
O=C1CN(c2ccncc2)CCN1c1ccc(OCc2ccccc2)cc1,a68b11f56f,"[(12, 13)]"
CCC(NCCCNC(=O)OC(C)(C)C)c1nn2cccc2c(=O)n1Cc1ccccc1,2f9550f2a6,"[(2, 3)]"
CC(=O)c1ccccc1Oc1cnn(C(CC2CCCC2)C(=O)O)c(=O)c1,3ffa7acad2,[]
O=C(Nc1ccc(Cl)c(-c2ccccn2)c1)c1ccc(-n2cncn2)nc1,514197d029,"[(1, 2)]"
C=C1C(=C)C2OC1C1=C2CC(C(C)=O)CC1,5f46f1e46c,"[(14, 15), (9, 10)]"
CCOC(=O)C=CCc1ccc(Br)cc1,d7fb5b3ada,"[(5, 6)]"
CC(C)(C)OC(=O)N1CCN(c2nc(-c3ccnc(NC4CCOCC4)c3)cc3cnccc23)CC1,ca33c6272d,"[(18, 19)]"
CN1Cc2cc(Cl)ccc2-n2c(Br)nnc2C1,d5ab715107,"[(0, 1)]"
CN(C)C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1,81c1c814d1,"[(1, 3)]"
CCOC(=O)Cc1ccc(OC)c(Oc2ccc([N+](=O)[O-])cc2CSCC(F)(F)F)c1,53c9eb6e33,"[(23, 24)]"
CC(C)(C)OC(=O)NCC1CCN(S(=O)(=O)c2cccc3cncc(Cl)c23)CC1,b79a3cb6c8,"[(12, 13)]"
CCOC(=O)c1ccc(N[C@@H]2CC[C@@H](O)CC2)c([N+](=O)[O-])c1,37d3a6a6f4,"[(8, 9)]"
COc1cc(C(F)(F)F)cc(C(F)(F)F)c1C(=O)N[C@@H]1CCCC[C@@H]1NC1CCN(C(C)=O)CC1,e2cccbf547,"[(25, 26)]"
CCCCCc1nc2c(N)nc3ccccc3c2n1CCCCNS(=O)(=O)c1ccccc1,fc8c815319,"[(23, 24)]"
CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3cc(C(=O)NCCNC(C)C)cn3C)n(Cc3c[nH]c4ccc(Cl)cc34)nc21,2a48abf03d,"[(16, 18)]"
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCN1CCN(c2ccccc2)CC1,baefb5faf0,"[(18, 19)]"
CC(=O)Oc1ccccc1C,b66a5053cf,"[(1, 3)]"
COC(=O)c1ccc2c(c1)[C@@H](N(C)C(=O)OC(C)(C)C)CC[C@H]2c1ccc(Cl)c(Cl)c1,243caaf290,"[(11, 13)]"
COCOc1ccc(C2(C)COc3cc(OCOC)ccc3C2CCCCCCCCOS(=O)(=O)c2ccc(C)cc2)cc1,0876419308,"[(31, 32)]"
Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)c1cccc(C(=O)N(C)C)c1,62d9ba44cb,"[(32, 34)]"
FC(F)(F)c1cc(-c2c[nH]cn2)cc(C(F)(F)F)c1,01c05e5b9a,"[(6, 7)]"
N#CC1CCN(C(=O)OCc2ccccc2)CC1,276b1b5de2,"[(5, 6)]"
CCSc1nc(N2CCOC[C@@H]2CO)cc(C)c1C(=O)NCc1cccc(F)c1,b92d32af2b,"[(5, 6)]"
CC1(C)[C@@]2(C)CC[C@]1(C(=O)Nc1ccc(Cl)cc1[C@@](O)(C#CC1CC1)C(F)(F)F)OC2=O,cec111c9bc,"[(18, 20)]"
Cc1ccc(C(C)(C)C)cc1N,977eb049ce,[]
CNc1cccc(NC(=O)NC(=O)c2ccccc2)c1C#N,99dceaaf68,"[(7, 8)]"
CC1=C(C#N)C(c2ccc3c(c2)c(NS(=O)(=O)Cc2ccc(F)cc2)nn3C(=O)OC(C)(C)C)C(C#N)=C(C)N1,34662baf9a,"[(13, 14)]"
O=C(Cc1cc(F)cc(F)c1)N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)N[C@@H]1C(=O)Nc2ccccc2S[C@@H]1c1ccccc1,b4ee5e6373,"[(23, 25)]"
CCNC(=O)c1c(OCc2ccccc2)c(OCc2ccccc2)c(C(=O)N(C)C)n1-c1ccc(OC)cc1,a03f10a7db,"[(2, 3)]"
CN(Cc1ccccc1)c1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1COC(C)(C)C2,8a796d6970,"[(14, 15)]"
c1ccc(COc2ccc(-c3nccc(NC4CCCC4)n3)cc2)cc1,379288213d,"[(9, 10)]"
C#CCNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)OCC(O)(CO)CN3CC)ncc1Cl,eba327758a,"[(16, 17)]"
O=C(NCCC1CC1)c1ccc(N2CC3=C(CN(C(=O)c4ccccc4C(F)(F)F)C3)C2)nc1,5d36536bf5,"[(1, 2)]"
CC(C)(C)c1noc(N2CCC(N(C(=O)c3cc(-c4ccc(C#N)cc4F)no3)C3CC3)CC2)n1,13a19438f1,"[(12, 13)]"
O=C(O)c1ccc(CBr)c(F)c1,e433b56779,"[(7, 8)]"
Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)CC(=O)O,42e5a9dd30,[]
COc1ccc(C2=CCC3(CC2)OCCO3)cc1,f2eaa24047,"[(5, 6)]"
CNC(=O)N1C[C@@H](c2ccccc2)N(C2CCN(C(=O)OC(C)(C)C)CC2)C1=O,aca568a514,"[(2, 4)]"
O=[N+]([O-])c1cc(Br)ccc1NCC1(O)CCCC1,01ff00423f,"[(9, 10)]"
C=CC(=O)OCC(Cl)(Cl)Cl,18b4c22e81,"[(2, 4)]"
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,97294e8c8f,[]
Cc1nc2c(nc1Nc1cnn(C)c1)c(C(=O)NC(C)(C)C)cn2COCC[Si](C)(C)C,f7eb935551,"[(6, 7)]"
C[C@@H](Nc1ncccc1I)C1CCOCC1,461a22e04f,"[(2, 3)]"
CC(C)(C)OC(=O)NC1(c2ccc(-c3c(-c4ccc(C(=O)OCc5ccccc5)cc4)nc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1,72e8252057,"[(14, 15)]"
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2,661583524b,[]
NC(=O)c1ncc(-c2cccc(-c3ccccc3C(F)(F)F)c2)[nH]1,fe1f16e36c,"[(0, 1)]"
c1ccc(C2CCC3(CC2)OCCO3)nc1,4c2b7cd21f,[]
C[C@H]1CNCCN1C1CCc2ccc(C(F)(F)F)cc21,dbcc7a325e,[]
COC(=O)c1cc(C(F)(F)F)nn1CCBr,558e54c8e0,"[(12, 13)]"
CC(NC(c1ccc(F)cc1)c1cccc(N)c1)c1ccc(F)c(F)c1,893ffead87,[]
COc1nc(Cl)cnc1NS(=O)(=O)c1ccc(Br)s1,b1c4e9dbc6,"[(9, 10)]"
CCC(=O)COc1cc(N)c(Cl)cc1C(=O)NCCN(CC)CC,3778e7609d,"[(4, 5)]"
O=C(Cc1cnccn1)N[C@@H](COCc1ccccc1)C(=O)Nc1ccc(Oc2ccc(F)cc2)cc1,dd66ce4cba,"[(1, 9)]"
CCNC(=S)NCc1ccccc1,e18c00d253,"[(3, 5)]"
CCOCCOCCC(=O)Nc1ccc2c(c1)C(C)(c1ccccc1)CC(C)(C)N2C(C)=O,677a1bb054,"[(5, 6)]"
NC(CO)c1cccc(NC2CCCCC2)c1,4faf6f0ae6,[]
CNc1ccc(OC)cc1C,b64f102a94,"[(0, 1)]"
CCNCC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3CC)C1,0ed51a7fd6,"[(7, 8)]"
CN1CCN(Cc2ccc(-c3cc(Cn4cc5nc(-c6cccc(F)c6F)nc-5cn4)on3)cc2)CC1,cd4d50b272,"[(13, 14)]"
CCOC(=O)c1csc(I)n1,00571a715c,"[(8, 9)]"
CC(C)(C)C(=O)ON[C@H]1CSc2c(cccc2-c2ccccc2)NC1=O,43b2b3a6c1,"[(23, 24)]"
O=[N+]([O-])c1ccc2c(c1)c(-c1cn[nH]c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,1a3f1bb389,"[(9, 10)]"
CCCCCc1ccc(-c2cc3cn([C@H]4C[C@H](OC(=O)OCc5ccccc5)[C@@H](CO)O4)c(=O)nc3o2)cc1,57342a8a92,[]
CN(C)c1ccc(-c2cnc3ccc(O)cc3n2)cc1,a6b25b993f,[]
Cc1c(C(=O)O)sc2cc(C(F)(F)F)ccc12,01b09440ab,[]
COc1ccc([C@@H](O)[C@H](NC(=O)[C@@H](N)CO)C(=O)OCc2ccccc2)cc1,1f359f8439,[]
CCCOc1ccc(C)cc1-c1nc(N)c(N)c(=O)[nH]1,1d666ae449,[]
CCCc1nc2c(cc1C(=O)O)C(=O)N(C1CCN(Cc3cc(C4CC4)c(-c4ccc(F)cc4F)c(F)c3OC)CC1)CC2,c1f7db63d8,[]
Cc1ccc(-n2ccc(NC(=O)c3cc(Cl)ccc3[N+](=O)[O-])n2)cc1C,0ff5cc78cd,"[(9, 10)]"
COc1cc2c(cc1[N+](=O)[O-])CCN(C(CF)CF)CC2,b3aa1db6d2,"[(13, 14)]"
CCOC(=O)c1cn2c3c(cc(C#CCNC(=O)OC(C)(C)C)cc3c1=O)CCC2,7c19997f03,"[(11, 12)]"
CC(C)c1c(C(=O)NCc2ccc(F)c(F)c2)c2ccc(OCc3ccccc3)cc2n1Cc1ccccc1,852c4a678f,"[(21, 22)]"
O=C(O)CNC(=O)c1cccs1,f919bc6e0d,[]
O=C(Nc1nnn[nH]1)c1cccc([N+](=O)[O-])c1O,7b0b6e7461,"[(1, 2)]"
CC(C)c1ccc(N(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)C(=O)C2CCCc3c(OCc4ccccc4)cccc32)cc1,5f3526d77e,"[(7, 31)]"
NCCc1ccc(Oc2ncccc2C(N)=O)cc1,6ab584d0de,[]
CC(=O)N(N=Nc1cc(C(F)(F)F)ccc1C#N)c1cc(C(F)(F)F)ccc1C#N,0f837089c7,"[(1, 3)]"
CCc1nc2c(C)cc(CC(C)O)nc2n1[C@H]1CCc2cc(-c3ccccc3-c3nnnn3C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21,ee94d4e065,[]
C=CCNc1nc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1cc(C(=O)O)ccc1C,d607385954,[]
O=C(O)c1ccc2c(c1)C[C@H]1[C@@H]2CCCN1C(=O)c1ccc2[nH]cnc2c1,53b98de342,[]
O=Cc1cc(F)c(OCc2ccccc2)c(F)c1,48f4900fe3,"[(7, 8)]"
CC(=O)Oc1ccc(-c2ccccc2)cc1,b8b33f4a50,"[(1, 3)]"
O=C(O)CSc1nc2cc(-c3ccc(-c4ccccc4O)cc3)c(Cl)cc2[nH]1,7ade588866,[]
C[C@@H]1O[C@H](C)CN2c3c(cc4c(N5CCNCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@@H]12,e9ad6ebb5e,[]
COC(=O)c1c(CN(CC#N)S(=O)(=O)c2ccc(C)cc2)n(S(=O)(=O)c2ccccc2)c2ncccc12,0a3ac88398,"[(6, 7)]"
CC(C)OC(=O)c1sc(Cl)nc1C(F)(F)F,cc071a035c,"[(3, 4)]"
O=c1c(-n2ccnc2)c[nH]n1-c1cc(N2CCC(F)(F)C2)ncn1,88f570e878,"[(13, 14)]"
O=C1C(=O)c2ccccc2C2=C1SCC1(CCN(CC3CCCO3)CC1)O2,43cdfb5d22,"[(17, 18)]"
Cc1cc(Cl)nc(N2CC[C@@H](F)C2)c1[N+](=O)[O-],0f3d4b1433,"[(6, 7)]"
COc1c(OC(F)F)ccc(-c2cccc3c2CCC3=O)c1OCc1ccc(S(C)(=O)=O)cc1,001739df79,"[(22, 23)]"
Cc1cc(Br)c2c3c1N(C)CC3CN(C(=O)OC(C)(C)C)CC2,62588a5862,"[(0, 1)]"
CCc1cnc(N2CCC([C@H]3Cc4cc(C5=CCN(S(C)(=O)=O)CC5)ncc4O3)CC2)nc1,248d596ed3,"[(5, 6)]"
COc1ccccc1N1CCN(Cc2c(C3CC3)nn(-c3ccccc3)c2N)CC1,2d7333aea5,"[(11, 12), (12, 13)]"
CC(=O)Nc1ccc(Oc2ccc([N+](=O)[O-])nc2)cc1,404fc12e5e,"[(8, 9)]"
COc1ccc(C(NC2=N[C@](C)(c3cc(Nc4ccccc4OC)ccc3F)[C@@H](F)CO2)(c2ccccc2)c2ccc(OC)cc2)cc1,b1f6c23247,"[(14, 15)]"
COc1ccc([C@H]2SC=C(c3ccccc3)N(CCN(C)C)C(=O)[C@H]2O)cc1,547386f0e0,[]
CCCCN1CCCC(Nc2ccc(-n3ccnc3)cc2C)C1,5d2d10ef6b,"[(8, 9)]"
CCOC(=O)CC1OB(O)c2cc(Oc3cccc(CN4CCN(C(=O)OC(C)(C)C)CC4)c3)ccc21,4d00dd2e61,"[(19, 20)]"
COc1ccc(-c2c(F)ccc3c2/C(=C/c2[nH]cnc2C)C(=O)N3)c(OC)c1,b152fff6fa,"[(5, 6)]"
Cc1cc2c(ccc3nnc(C)n32)n1Cc1ccccn1,70d635c5af,"[(13, 14)]"
CC(C)(C)OC(=O)N1CCC[C@@H]1COc1cccc(CO[Si](C)(C)C(C)(C)C)n1,9b13278fda,"[(13, 14)]"
COc1ccccc1[C@H](c1cccc2ccccc12)[C@@](C)(C#N)C(=O)N1CCN(CCN2CCOCC2)CC1,4967a6f71d,"[(23, 25)]"
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@@H](C)C(=O)N(C)C)c34)cc2C)cn1,7fa1fa919c,"[(19, 20)]"
CC(C)=Cc1ccc2c(c1)OCO2,c828afd4f6,"[(1, 3)]"
CC(C)(C)OC(=O)N1CCC(CCOc2ccc(C(=O)OCc3ccccc3)cc2)CC1,d2be8ae7b6,"[(12, 13)]"
CCc1ccc(-c2coc3ncnc(O[C@H](C)CCCCC(=O)OC(C)(C)C)c23)cc1,011d893221,"[(13, 14)]"
O=c1c2cc(C(F)(F)F)ccc2ccn1-c1cncc(F)c1,d786a59a97,"[(14, 15)]"
CCOC(=O)c1sc(Cl)nc1-c1nnco1,460708faf1,"[(14, 15)]"
CCCS(=O)(=O)c1cc(OCCCCCCc2cccc(OCCCC(=O)OCC)c2CCC(=O)OCC)cc(-c2ccsc2)c1,eab70e74e9,"[(39, 40)]"
O=C(N[C@@H]1CN(C(=O)OCc2ccccc2)CC[C@H]1C1CCCCC1)Oc1ccc([N+](=O)[O-])cc1,e17c5b2a9f,"[(1, 2)]"
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H](NC(C)=O)[C@H](N=[N+]=[N-])[C@@H]1OS(C)(=O)=O,3013d7f742,"[(24, 25)]"
CNc1ccc(C(=O)Nc2ccc(Br)cc2)cc1[N+](=O)[O-],3e50ec12be,"[(1, 2)]"
CC(=O)N1c2ccc(NC(=O)c3cccc(C)c3-c3ccccc3)cc2C(C)(c2ccccc2)CC1(C)C,788f470d1f,"[(17, 18)]"
NCCOc1ccc(-c2cnoc2)cc1,22385b9ee9,[]
C=C(OCC)c1ncccc1[N+](=O)[O-],a258791f3b,"[(1, 5)]"
CN(Cc1cccc(-c2ccc(CC3SC(=O)NC3=O)cc2)c1)C(=O)c1ccno1,07e2b0a555,"[(1, 23)]"
COc1ccccc1N1CCN([C@@H]2CC[C@@H](c3ccc(C)cc3C)CC2)CC1,8267df8331,[]
CCOC(=O)c1sc(N)nc1-c1cccc(C#N)c1,2978860bab,"[(9, 10), (5, 6)]"
C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC1CCCC1,9aa9e1db3e,"[(11, 12)]"
Cc1cc(OCC2CCN(C(=O)OC(C)(C)C)CC2)cc(OS(=O)(=O)c2ccccc2)c1,b708c56fa1,"[(4, 5)]"
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](CCO[Si](C)(C)C(C)(C)C)NC(=O)OC(C)(C)C,b47ef6cd29,"[(10, 11)]"
COC(=O)Cc1cc(OCc2ccc(F)cc2)ccc1CO,ace0aaaec5,[]
Cc1cc(O)c2c3c(oc(=O)c2c1)C(=O)c1c(O)cccc1C3=O,27bdeb6217,[]
CCOC(=O)c1ncc2[nH]c3ccc(N)cc3c2c1C,5403b119eb,[]
O=C(c1cccc(F)c1)N1CC2CC2(c2ccc(Cl)cc2)C1,4ff4a996b7,"[(1, 9)]"
CC(C)(C)OC(=O)N1CCN(c2nccc3ccc(Sc4ccccc4C(C)(C)C)cc23)CC1,f6c700d84c,"[(18, 19)]"
COc1cc2ncnc(Nc3nc4ccc(NC(=O)Nc5ccc(Cl)c(C(F)(F)F)c5)cc4s3)c2cc1OC,e1e29fa140,"[(8, 9)]"
O=C(Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,729015afe6,"[(1, 2)]"
Cc1nc2cccnc2n(-c2cccc(N)c2)c1=O,3b05128813,[]
O=C(O)[C@H](CCc1ccccc1)NS(=O)(=O)c1ccc2c(c1)Sc1ccccc1O2,a4d95445fc,"[(12, 13)]"
O=Cc1csc2ccncc12,a57f4fd29d,"[(1, 2)]"
O=C1CCN(Cc2ccc(Cl)cc2)CC1,9d2945fd11,"[(4, 5)]"
c1cnc2c(c1)CC[C@H]1CCCN(Cc3cn4c(N5CCOCC5)cccc4n3)[C@@H]21,0118da40f6,"[(17, 18)]"
COc1ccc(CN2CCN(c3cc(Cl)cc(Cl)c3)CC2COCc2ccc([N+](=O)[O-])cc2)cc1OC,3c0b8b31d1,"[(22, 23)]"
NCCn1cc(C(=O)N2CCC(c3cccc4c3OCC4)CC2)c2ccc(Cl)cc21,02c5666458,"[(2, 3)]"
Oc1ccc2c(c1)CCN2,83c07b6f19,[]
CCOC(=O)CCCC1Cc2ccccc2N(CCCN(C)C)c2ccccc21,61e7410acc,[]
N#Cc1csc(N2C(=O)C(Cc3ccccc3)NC2=S)n1,2d965300e1,"[(6, 7)]"
CC(C)(C)OC(=O)c1ccccc1[N+](=O)[O-],030b1a8c91,"[(4, 5)]"
O=C(N[C@@H]1CC[C@@H](CCN2CCC(Oc3ccc(F)cc3F)CC2)CC1)c1ccnc2ccccc12,443dc1270a,"[(1, 2)]"
Cc1cc(OCCC(=O)OC(C)(C)C)cc2c1C(CC(=O)O)OB2O,040d1ede6b,[]
Cc1nnc(-c2ccccc2F)n2nc(OCc3ncnn3C)c(Br)c12,3377e4b724,"[(15, 16)]"
CCN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc(Cl)cn2)CC1,54cfda0c39,"[(6, 8)]"
CCS(=O)(=O)N[C@@H]1CCOC[C@H]1c1ccc(-c2ccccc2)cc1,af1c87aede,"[(2, 5)]"
COCCN(C(=O)c1ccc(Cl)cc1Cl)c1cc(C#CC(C)(C)C)sc1C(=O)OC,abc1b2e984,"[(3, 4)]"
COc1cc(C(=O)NC2COC2)ccc1Nc1nc(OC2(C)CCC2)c2c(-c3ccc4nc(C)oc4c3)cn(COCC[Si](C)(C)C)c2n1,bc74aecc01,"[(15, 16)]"
C#CCC(CC#C)C(=O)OC,92966150b2,[]
CCc1c(OCCCC(=O)O)cccc1-c1noc(-c2ccc(OC(C)C)c(Cl)c2)n1,6df3834e9e,[]
COc1ccccc1-c1cncc(N2CC3CC4CC2CN(C4)C3)c1,aa135bbb32,"[(7, 8)]"
CN(C)c1ccc(CNC2CCN(C(=O)OC(C)(C)C)CC2)cc1[N+](=O)[O-],6fcaf2b660,"[(7, 8)]"
O=[N+]([O-])c1cc(I)ccc1Nc1cccc(-c2ccccn2)c1,8b857c8fd9,"[(9, 10)]"
O=C1OCCN1CCN1CCN(C2Cc3cc(C(F)(F)F)ccc3Sc3ccccc32)CC1,ee08df2cc9,"[(11, 12)]"
CC(C)(C)OC(=O)N1CC[C@@H](N)[C@@H](C(=O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)C1,2c308b12ba,[]
CCCC(C(=O)OC)c1c(C)nc(-c2cccc3ncccc23)nc1-c1ccc(C)cc1,6b79e76a35,"[(12, 13)]"
N#Cc1ccc(OCCCN2CCCCC2)cc1C(F)(F)F,7f926aaf96,"[(5, 6)]"
CC(C)CCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,3f29e2e61f,"[(4, 5)]"
NC(=O)c1cccc2[nH]c(C(F)(F)Cl)nc12,4477af124d,"[(8, 9), (9, 14)]"
COC(=O)c1ccc(CCCN2C(=O)CCC2CCC(Cc2cccc(Oc3ccccc3)c2)O[Si](C)(C)C(C)(C)C)cc1,80691a921c,"[(10, 11)]"
O=C(CCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3ccccc13)CCCC2,fd52d631bb,"[(1, 13)]"
COC(=O)CC1CCN(C(=O)c2ccc3c(c2)nc(C(C)(C)C)n3CC2CCC(F)(F)CC2)CC1,0e5be92d82,"[(8, 9)]"
CC(C)(C)OC(=O)N1CCN(c2ncncc2Cl)CC1,8e7fa5c770,"[(10, 11)]"
C#CCSc1ccccc1C(=O)O,a30315b105,"[(2, 3)]"
C=CC[C@H](C)Oc1cc(F)c(F)cc1C=O,ed639a28d9,"[(3, 5)]"
CC[C@@H](C(N)=O)N1CNCC1=O,7f72d8175d,[]
Oc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,c5dc8df595,[]
Nc1ccc(CCN2CCCC(Cc3ccccc3)C2)cc1,7c2e78c0fa,[]
N[C@H](Cc1c[nH]c2ccccc12)c1nc(-c2ccc(F)cc2)c[nH]1,38430f5e06,[]
COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)cn(CC3(NC(=O)OC(C)(C)C)COC(C)(C)OC3)c2c1,8a52c3538c,"[(22, 23)]"
CC(=O)NCCCS(=O)(=O)OCC(C)(C)[C@@H](O[Si](C)(C)C(C)(C)C)C(=O)OCc1oc(=O)oc1C,24d04cbc66,"[(26, 27)]"
CCc1cccc(Oc2nc(C(=O)NC(C)c3cc(F)c(NS(C)(=O)=O)c(F)c3)co2)c1,40d64826fe,"[(7, 8)]"
COc1cc(OC)c2c3c(c(=O)oc2c1)CN(CCN1CCCCC1)CC3,8e14ecc83d,"[(16, 17)]"
CCOC(OCC)c1cc2ccc(C(=O)N[C@H]3CN4CCC3CC4)cc2o1,588d9304a9,"[(13, 15)]"
Cc1ccccc1C(/N=C/c1ccccn1)c1ccccc1C,7c9a991e6a,"[(8, 9)]"
c1ccc(Nc2c[nH]c3ncccc23)cc1,249ceea4a2,"[(4, 5)]"
COc1ccc(Cn2cc(-c3ccnc4[nH]ccc34)c(-c3ccc(NC(=O)Nc4ccccc4)cc3)n2)cc1,1598e529f9,"[(24, 25)]"
CCCCN(CCCC)C(=O)c1ncn(C)c1-c1ccc(C(=O)OC)cc1C(=O)N1CCc2ccccc2C1,62680809d0,"[(16, 17)]"
CCc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,af7d3200e7,"[(7, 8)]"
O=C(COc1cccc(CCNC(=O)OCc2ccccc2)c1)Nc1nnn[nH]1,b5c4b2d3c6,"[(1, 23)]"
C[C@@H](CO)Oc1cc(Oc2cc(F)c(S(C)(=O)=O)cc2F)cc(C(=O)Nc2ccn(C)n2)c1,d3b689f099,"[(8, 9)]"
OC(CC1CCN(CC2CC2)CC1)(c1ccccc1)c1ccc(F)cc1,89f75a4150,"[(1, 13)]"
COc1ccc2c(c1)CCNC2c1ccc(OCc2ccccc2)cc1,5ebea288f8,[]
COCN1c2cc(CN)ccc2Sc2nccnc21,ba1ea318db,[]
CN(Cc1cn2c(N3CC[C@@H](N)C3)cccc2n1)[C@H]1CCCc2cccnc21,9681443f5f,[]
Nc1nnc(C(=O)NC2CC2)s1,a4852204d6,"[(5, 7)]"
C=C(C)OC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc2ncccc2c1,bafc8082fd,"[(4, 6)]"
O=C1NC(=O)C(=Cc2cccs2)S1,83fec6fce5,"[(5, 6)]"
CC(C)NC[C@@H](Cc1ccccc1)Nc1nccc(N(C)c2ccnc(-c3ccccc3)n2)n1,7b45ecd9d2,"[(1, 3)]"
CC(=O)N1CCC(Nc2nccc(N3CCOc4cnc(-c5ccccc5)nc43)n2)CC1,157a48590a,"[(1, 3)]"
